Description,Basic Unit,Beginning Balance ,Quantity Received ,Quantity Dispensed ,Losses and Adjustments,Ending Balance (Physical Count)
Tab. Cefuroxime 250mg,10,1000,0,0,0,0
Tab. Cefuroxime 250mg,10,1000,0,0,0,0
Tab. Cefuroxime 250mg,10,1000,0,0,0,0
Cap Ampicillin,100,350,0,0,0,0
Cap Ampicillin,100,350,0,0,0,0
Cap Ampicillin,100,350,0,0,0,0
Inj Vit K,100,30,10,300,20,30
Inj Vit K,100,30,20,600,0,20
Inj Vit K,100,30,20,600,0,20
Surgical gloves,100,2,0,i,0,i
Tab Quinine,100,4100,0,0,0,0
Tab Quinine,100,4100,0,0,0,0
Tab Quinine,100,41oo,0,0,0,0
Tab. Amlodipine 5mg(Jawa),100,3300,0,0,0,0
Tab. Amlodipine 5mg(Jawa),100,3300,0,0,0,0
Tab. Amlodipine 5mg(Jawa),100,3300,0,0,0,0
Tab. Loperamide,100,500,0,0,0,0
Tab. Loperamide,100,500,0,0,1,1
Tab. Loperamide,100,500,1,500,0,1
Tab B. Complex,1000,0,100,40,0,60
Tab B. Complex,1000,1,0,1,0,0
Tab B. cpmplex,1000,0,0,0,0,0
Cap. Chloramphenicol 250mg,1000's,2500,0,0,0,0
Cap. Chloramphenicol 250mg,1000's,2500,0,0,0,0
Cap. Chloramphenicol 250mg,1000's,2500,0,0,0,0
Cap. Tetracycline 250mg,1000's,2000,0,0,0,0
Cap. Tetracycline 250mg,1000's,2000,0,0,0,0
Cap. Tetracycline 250mg,1000's,2000,0,0,0,0
Tab Aminophylline,1000's,0.2,0,0,0,0.2
Tab Aspirin,1000's,1000,0,0,0,0
Tab Aspirin,1000's,1000,0,0,0,0
Tab Aspirin,1000's,1000,0,0,0,0
Tab B Complex,1000's,0,20,12,0,8
Tab Chlorpheniramine,1000's,500,0,0,1,1
Tab Chlorpheniramine,1000's,500,1,500,0,1
Tab Chlorpheniramine,1000's,500,1,500,0,1
Tab Diazepam,1000's,0.5,0,0,0,0.5
Tab Digoxin,1000's,0.15,0,0,0,0.15
Tab Frusemide,1000's,0,1,0.2,0,0.8
Tab Multivitamin,1000's,950,1,950,0,1
Tab Multivitamin,1000's,950,1,950,0,1
Tab Multivitamin,1000's,950,1,950,0,1
Tab Vitamin B co,1000's,3.9,10,10.2,0,3.7
Tab Vitamin C,1000's,850,0,0,0,0
Tab Vitamin C,1000's,800,0,0,10,10
Tab Vitamin C,1000's,800,3,2400,15,18
Tab Vitamin C,1000's,800,5,4000,10,15
Tab. Calcium Lactate 300mg,1000's,1750,0,0,0,0
Tab. Calcium Lactate 300mg,1000's,1750,0,0,0,0
Tab. Calcium Lactate 300mg,1000's,1750,0,0,0,0
Tab. Co-trimoxazole,1000's,4750,0,0,0,0
Tab. Co-trimoxazole,1000's,4750,0,0,1,1
Tab. Co-trimoxazole,1000's,4750,1,4750,0,1
Tab. Diazepam 5mg,1000's,1200,0,0,0,0
Tab. Diazepam 5mg,1000's,1200,0,0,0,0
Tab. Diazepam 5mg,1000's,1200,0,0,0,0
Tab. Ferrous sulphate,1000's,850,1,850,2,3
Tab. Ferrous sulphate,1000's,850,2,1700,0,2
Tab. Ferrous sulphate,1000's,850,2,1700,0,2
Tab. Folic Acid,1000's,850,0,0,0,0
Tab. Folic Acid,1000's,850,0,0,0,0
Tab. Folic Acid,1000's,850,0,0,0,0
Tab. Folic Acid,1000's,900,2,1800,0,2
Tab. Folic Acid,1000's,900,1,900,0,1
Tab. Folic Acid,1000's,900,1,900,0,1
Tab. Frusemide,1000's,2800,0,0,0,0
Tab. Frusemide,1000's,2800,0,0,1,1
Tab. Frusemide,1000's,2800,1,2800,0,1
Tab. Magnesium trisilicate,1000's,1100,0,0,0,0
Tab. Magnesium trisilicate,1000's,1100,0,0,0,0
Tab. Magnesium trisilicate,1000's,1100,0,0,0,0
Tab. Metoclopramide,1000's,1000,0,0,0,0
Tab. Metoclopramide,1000's,1000,0,0,0,0
Tab. Metoclopramide,1000's,1000,0,0,0,0
Tab. Metronidazole 200mg,1000's,2000,7,14000,10,17
Tab. Metronidazole 200mg,1000's,2000,8,16000,7,15
Tab. Metronidazole 200mg,1000's,2000,5,10000,10,15
Tab. Nitrofurantoin,1000's,1700,0,0,0,0
Tab. Nitrofurantoin,1000's,1700,0,0,0,0
Tab. Nitrofurantoin,1000's,1700,0,0,0,0
Tab. Paracetamol 500mg,1000's,1780,0,0,0,0
Tab. Paracetamol 500mg,1000's,1780,0,0,0,0
Tab. Paracetamol 500mg,1000's,1780,0,0,0,0
Tab. Paracetamol 500mg,1000's,1750,3,5250,15,18
Tab. Paracetamol 500mg,1000's,1750,4,7000,10,14
Tab. Paracetamol 500mg,1000's,1750,4,7000,10,14
Tab. Prednisolone 5mg,1000's,2000,0,0,0,0
Tab. Prednisolone 5mg,1000's,2000,0,0,0,0
Tab. Prednisolone 5mg,1000's,2000,0,0,0,0
Tab. Vit. B complex,1000's,870,0,0,2,2
Tab. Vit. B complex,1000's,870,1,870,2,3
Tab. Vit. B complex,1000's,870,2,1740,0,2
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,0,0,0,0,0
Tabs Ascorbic acid 100mg,1000's,200,0,0,0,200
Tabs Ascorbic acid 100mg,1000's,1000,0,0,0,1000
